Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
12226,Purdue University,"West Lafayette, IN",2020-09-28T19:30:03.387958Z,127.7839424178185,39.728,116189449.73000112,2470596.3750173505,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T19:45:02.962604Z,77.17346459076903,39.998,116956069.29068173,2464680.3976148325,
12226,Purdue University,"West Lafayette, IN",2020-09-28T20:00:03.582126Z,127.7839424178185,40.469,116599650.2043265,2460865.188738158,
12226,Purdue University,"West Lafayette, IN",2020-09-28T20:15:03.098246Z,127.7839424178185,40.87,116868731.35484274,2458391.5631909757,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T20:30:02.955210Z,77.17346459076903,40.585,116635920.77608822,2464843.4922329695,
12226,Purdue University,"West Lafayette, IN",2020-09-28T20:45:03.805308Z,127.7839424178185,41.463,116607369.43430519,2459551.630824556,
11441,LightBound,"Indianapolis, IN",2020-09-28T21:00:03.450701Z,77.17346459076903,40.509,114833787.97256644,2462197.7901891763,
14162,University of Notre Dame,"Notre Dame, IN",2020-09-28T21:15:03.636623Z,178.96241419624894,31.73,116821662.80172424,2488194.625389098,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T21:30:03.110013Z,77.17346459076903,39.517,116233458.81236476,2462562.4369272366,
14162,University of Notre Dame,"Notre Dame, IN",2020-09-28T21:45:03.507297Z,178.96241419624894,31.908,117847590.1835266,2461413.4440522594,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T22:00:03.022589Z,77.17346459076903,39.826,117212188.3297739,2481651.5833760262,
11441,LightBound,"Indianapolis, IN",2020-09-28T22:15:03.337880Z,77.17346459076903,40.651,18322927.527311347,2456115.3074630275,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T22:30:03.741917Z,77.17346459076903,40.97,115465860.12281907,2457236.4381908574,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T22:45:03.138534Z,77.17346459076903,39.676,117062891.49954201,2462594.5493246596,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T23:00:03.620129Z,77.17346459076903,40.182,116144877.09944953,2458074.3217832977,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T23:15:03.394488Z,77.17346459076903,40.976,116834743.34614955,2453985.069582205,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T23:30:03.146545Z,77.17346459076903,39.825,116320172.37508887,2464295.6840411015,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T23:45:03.767242Z,77.17346459076903,40.167,7269083.718022623,2470242.358609761,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T00:00:03.404562Z,77.17346459076903,39.912,116199902.68351704,2467245.8005806333,
11441,LightBound,"Indianapolis, IN",2020-09-29T00:15:03.083130Z,77.17346459076903,39.914,109792232.14415543,2467853.4750696123,
14162,University of Notre Dame,"Notre Dame, IN",2020-09-29T00:30:03.074683Z,178.96241419624894,32.87,117682678.54520002,2461038.1486432115,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T00:45:03.376515Z,77.17346459076903,48.828,116938871.85935113,2468441.5838476503,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T01:00:03.726553Z,77.17346459076903,39.728,115848970.26660794,2472608.198609453,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T01:15:03.354269Z,77.17346459076903,39.399,116922081.43654476,2453726.485069169,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T01:30:03.160305Z,77.17346459076903,40.097,117416889.83933184,2462954.049413944,
11546,NineStar Connect,"Greenfield, IN",2020-09-29T01:45:03.731624Z,55.67161928072508,40.64,117120428.49859945,2438909.5585972858,
11441,LightBound,"Indianapolis, IN",2020-09-29T02:00:03.583932Z,77.17346459076903,40.466,101017098.55769347,2459050.0319703184,
